Resource,Path,Git Org,Git Repository,Misconfigurations,Policy title,Guideline
aws_security_group_rule.endpoints_ingress_https,/secure/main.tf,cli_repo,terraform,CKV_AWS_23,Ensure every security group and rule has a description,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-31
aws_iam_role_policy.ec2_minimal,/secure/main.tf,cli_repo,terraform,CKV_AWS_290,Ensure IAM policies does not allow write access without constraints,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-iam-policies/bc-aws-290
aws_iam_role_policy.ec2_minimal,/secure/main.tf,cli_repo,terraform,CKV_AWS_355,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-iam-policies/bc-aws-355
aws_instance.app,/secure/main.tf,cli_repo,terraform,CKV_AWS_126,Ensure that detailed monitoring is enabled for EC2 instances,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-logging-policies/ensure-that-detailed-monitoring-is-enabled-for-ec2-instances
aws_instance.app,/secure/main.tf,cli_repo,terraform,CKV_AWS_135,Ensure that EC2 is EBS optimized,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-that-ec2-is-ebs-optimized
aws_instance.app,/secure/main.tf,cli_repo,terraform,CKV_AWS_79,Ensure Instance Metadata Service Version 1 is not enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/bc-aws-general-31
aws_lb.alb,/secure/main.tf,cli_repo,terraform,CKV_AWS_131,Ensure that ALB drops HTTP headers,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/ensure-that-alb-drops-http-headers
aws_lb.alb,/secure/main.tf,cli_repo,terraform,CKV_AWS_91,Ensure the ELBv2 (Application/Network) has access logging enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-logging-policies/bc-aws-logging-22
aws_lb.alb,/secure/main.tf,cli_repo,terraform,CKV_AWS_150,Ensure that Load Balancer has deletion protection enabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/bc-aws-150
aws_db_instance.mysql,/secure/main.tf,cli_repo,terraform,CKV_AWS_226,Ensure DB instance gets all minor upgrades automatically,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-aws-db-instance-gets-all-minor-upgrades-automatically
